0,1
programme,कार्यक्रम
is reviewing,समीक्षा कर रहा है
break,विराम
expertise of reviewer,समीक्षक की विशेषज्ञता
multimedia topic,मल्टीमीडिया विषय
conference proceedings,सम्मेलन की कार्यवाही
early-registered participant,जल्दी पंजीकृत प्रतिभागी
research topic,शोध विषय
has part,भाग है
mealtime,आहार का समय
is committee of conference,सम्मेलन की समिति है
contributes to conference,सम्मेलन में योगदान देता है
event of reviewing results,परिणामों की समीक्षा करने का कार्यक्रम
book proceeding,पुस्तक कार्यवाही
research activity,अनुसंधान गतिविधि
has related Document,संबंधित दस्तावेज़ है
starting day of event,कार्यक्रम का प्रारंभिक दिन
setting of default choice of number of event,कार्यक्रम की संख्या की डिफ़ॉल्ट पसंद की सेटिंग
has track,ट्रैक है
date of full paper submission,पूर्ण शोध पत्र प्रस्तुत करने की तिथि
"author, who is not a reviewer","लेखक, जो समीक्षक नहीं है"
rejected paper,अस्वीकृत शोध पत्र
technically organises,तकनीकी रूप से व्यवस्थित
review form,समीक्षा प्रपत्र
is reviewed by,द्वारा समीक्षा की जाती है
computer networks applications topic,संगणक जाल-तंत्र अनुप्रयोग विषय
