0,1,2
delegate (person registering and visiting the conference),ਡੈਲੀਗੇਟ (ਰਜਿਸਟਰ ਹੋਣ ਵਾਲਾ ਅਤੇ ਕਾਨਫਰੰਸ ਦਾ ਦੌਰਾ ਕਰਨ ਵਾਲਾ ਵਿਅਕਤੀ),pratinidh
references,ਹਵਾਲੇ,havaale
bank transfer,ਬੈਂਕ ਟ੍ਰਾਂਸਫਰ,bank transfer
industrial organization,ਉਦਯੋਗਿਕ ਸੰਗਠਨ,Udyogik Sangathan
has id,ਆਈਡੀ ਹੈ,aai dee hai
industrial session,ਉਦਯੋਗਿਕ ਸੈਸ਼ਨ,Udyogik Session
author who will receive proceedings as book,ਲੇਖਕ ਜਿਸਨੂੰ ਕਿਤਾਬ ਦੇ ਰੂਪ ਵਿੱਚ ਕਾਰਵਾਈ ਪ੍ਰਾਪਤ ਹੋਵੇਗੀ,lekhak jis nu kitab de taur 'te kaarvai praapt hovegi
set maximal number of assigned paper,ਨਿਰਧਾਰਤ ਪੇਪਰ ਦੀ ਵੱਧ ਤੋਂ ਵੱਧ ਗਿਣਤੀ ਨਿਰਧਾਰਤ ਕਰੋ,asain kite paperan di adhiktam ginti set karo
mailing list,ਮੇਲਿੰਗ ਸੂਚੀ,mail suchi
is the first part of,ਦਾ ਪਹਿਲਾ ਹਿੱਸਾ ਹੈ,da pahila bhag hai
accept-if-room rating,ਕਮਰੇ ਨੂੰ ਸਵੀਕਾਰ ਕਰਨ ਦੀ ਰੇਟਿੰਗ,kamra rating de naal svikaar karo
is used by,ਦੁਆਰਾ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ,duara vartia janda hai
is paid by,ਦੁਆਰਾ ਭੁਗਤਾਨ ਕੀਤਾ ਜਾਂਦਾ ਹੈ,duara bhugtaan keeta janda hai
is present in time or space,ਸਮੇਂ ਜਾਂ ਸਥਾਨ ਵਿੱਚ ਮੌਜੂਦ ਹੈ,Maujūda hai
regular participant of conference,ਕਾਨਫਰੰਸ ਦੇ ਨਿਯਮਤ ਭਾਗੀਦਾਰ,niyamit bhaagidaar
accepted by,ਦੁਆਰਾ ਸਵੀਕਾਰ ਕੀਤਾ ਗਿਆ,duara sweekaar keeta gia
welcome talk,ਸੁਆਗਤ ਗੱਲਬਾਤ,Suaagat Galbat
computer networks topic,ਕੰਪਿਊਟਰ ਨੈੱਟਵਰਕ ਵਿਸ਼ੇ,kompyuter netwark vise
pending paper,ਬਕਾਇਆ ਕਾਗਜ਼,bakaia kagaz
microelectronics topic,ਮਾਈਕ੍ਰੋਇਲੈਕਟ੍ਰਾਨਿਕਸ ਵਿਸ਼ਾ,MaaikroilaelektroniksVishaa
deadline of author notification,ਲੇਖਕ ਦੀ ਸੂਚਨਾ ਦੀ ਅੰਤਮ ਤਾਰੀਖ,lekhak di suchna di miyaad
personal history,ਨਿੱਜੀ ਇਤਿਹਾਸ,nijji itihaas
computer networks optical topic,ਕੰਪਿਊਟਰ ਨੈੱਟਵਰਕ ਆਪਟੀਕਲ ਵਿਸ਼ਾ,kampiyutar netavarik aapptikal visha
date of acceptance notification,ਸਵੀਕ੍ਰਿਤੀ ਸੂਚਨਾ ਦੀ ਮਿਤੀ,sweekriti di suchna di miti
has city,ਸ਼ਹਿਰ ਹੈ,shahr hai
has topic,ਵਿਸ਼ਾ ਹੈ,Visha hai
virtual meeting enabled by,ਵਰਚੁਅਲ ਮੀਟਿੰਗ ਦੁਆਰਾ ਸਮਰਥਿਤ ਹੈ,Virtual meeting dwaara sahaayta praapt
performance topic,ਪ੍ਰਦਰਸ਼ਨ ਦਾ ਵਿਸ਼ਾ,pradarshan visa
is held before,ਅੱਗੇ ਆਯੋਜਿਤ ਕੀਤਾ ਗਿਆ ਹੈ,age ayojjita kita gia hai
activity,ਗਤੀਵਿਧੀ,gatividhi
city where the conference takes place,ਉਹ ਸ਼ਹਿਰ ਜਿੱਥੇ ਕਾਨਫਰੰਸ ਹੁੰਦੀ ਹੈ,uha shahar jithe kanapharasa hudi hai
has amount of cost,ਲਾਗਤ ਦੀ ਮਾਤਰਾ ਹੈ,lagat di maatra hai
short paper,ਛੋਟਾ ਕਾਗਜ਼,chota kagaz
closing talk,ਸਮਾਪਤੀ ਗੱਲਬਾਤ,Samapati galabata
has event,ਘਟਨਾ ਹੈ,Ghatna hai
cryptography topic,ਕ੍ਰਿਪਟੋਗ੍ਰਾਫੀ ਦਾ ਵਿਸ਼ਾ,kriptographee vishaa
paper assignment tools run by,ਪੇਪਰ ਅਸਾਈਨਮੈਂਟ ਟੂਲ ਦੁਆਰਾ ਚਲਾਏ ਜਾਂਦੇ ਹਨ,pepara asainamainta tula duaaraa chalaae jande hana
presentation,ਪੇਸ਼ਕਾਰੀ,peskari
call for papers,ਕਾਗਜ਼ਾਂ ਲਈ ਕਾਲ ਕਰੋ,kagazan lai kal karo
presents document,ਦਸਤਾਵੇਜ਼ ਪੇਸ਼ ਕਰਦਾ ਹੈ,dastavez pesch karda hai
attendee at,'ਤੇ ਹਾਜ਼ਰ,te  hazara
co-author of contribution,ਯੋਗਦਾਨ ਦੇ ਸਹਿ-ਲੇਖਕ,yogdaan de  sahi-lekhaka
conference end date and time,ਕਾਨਫਰੰਸ ਦੀ ਸਮਾਪਤੀ ਮਿਤੀ ਅਤੇ ਸਮਾਂ,kanapharasa di sampati miti ate saman
paper assignment finalized by,ਦੁਆਰਾ ਪੇਪਰ ਅਸਾਈਨਮੈਂਟ ਨੂੰ ਅੰਤਿਮ ਰੂਪ ਦਿੱਤਾ ਗਿਆ,duara pepara asainamainta nu atima rup dita gia
added by,ਦੁਆਰਾ ਜੋੜਿਆ ਗਿਆ,duara joria gia
scientifically organised by,ਦੁਆਰਾ ਵਿਗਿਆਨਕ ਤੌਰ 'ਤੇ ਆਯੋਜਿਤ ਕੀਤਾ ਗਿਆ ਹੈ,duara Vigianak taur 'te aayojit kita gia hai
submission,ਅਧੀਨਗੀ,adhinagi
plenary lecture,ਪੂਰਾ ਲੈਕਚਰ,plenary lecture
gold sponzor of conference,ਕਾਨਫਰੰਸ ਦਾ ਗੋਲਡ ਸਪਾਂਸਰ,kanapharasa da golada sapansara
activity of accepting a manuscript,ਹੱਥ-ਲਿਖਤ ਸਵੀਕਾਰ ਕਰਨ ਦੀ ਗਤੀਵਿਧੀ,hatha likhata savikara karana di gatividhi
conference fee,ਕਾਨਫਰੰਸ ਫੀਸ,kanapharasa phisa
textual review question,ਪਾਠ ਸਮੀਖਿਆ ਸਵਾਲ,patha samikhi savala
menu (meal),ਮੀਨੂ (ਭੋਜਨ),minu (bhojana)
submitted paper,ਪੇਸ਼ ਕੀਤਾ ਕਾਗਜ਼,pesa kita kagaz
value added tax,ਮੁੱਲ ਜੋੜਿਆ ਟੈਕਸ,Mula joria taikas
member of conference,ਕਾਨਫਰੰਸ ਦੇ ਮੈਂਬਰ,kanapharasa de maimbar
applicant for conference who early paid conference fee,ਕਾਨਫਰੰਸ ਲਈ ਬਿਨੈਕਾਰ ਜਿਸਨੇ ਕਾਨਫਰੰਸ ਫੀਸ ਜਲਦੀ ਅਦਾ ਕੀਤੀ ਸੀ,kanapharas lai binaikara jisane khanapharasa phisa jaladi ada kiti si
submit paper,ਕਾਗਜ਼ ਜਮ੍ਹਾਂ ਕਰੋ,kagaz jamhan karo
has rating,ਰੇਟਿੰਗ ਹੈ,retiNg hai
dining place,ਖਾਣੇ ਦੀ ਜਗ੍ਹਾ,khaane di jagha
read by meta-reviewer,ਮੈਟਾ-ਸਮੀਖਿਅਕ ਦੁਆਰਾ ਪੜ੍ਹਿਆ ਗਿਆ,Maiṭā-samīkhiak dwārā paṛhiā gia
non speaker,ਗੈਰ ਸਪੀਕਰ,gair sapikar
lecture,ਲੈਕਚਰ,laikacar
presented by,ਦੁਆਰਾ ਪੇਸ਼ ਕੀਤਾ ਗਿਆ ਹੈ,duara pesa  kita gia hai
written by author,ਲੇਖਕ ਦੁਆਰਾ ਲਿਖਿਆ ਗਿਆ,lekhaka duara likhia gia
is sent after,ਤੋਂ ਬਾਅਦ ਭੇਜਿਆ ਜਾਂਦਾ ਹੈ,tom baada bhejia janda hai
state of the sponsor,ਪ੍ਰਾਯੋਜਕ ਦੀ ਸਥਿਤੀ,prayojaka di sathiti
conference building,ਕਾਨਫਰੰਸ ਇਮਾਰਤ,kanapharasa imarata
has subject area,ਵਿਸ਼ਾ ਖੇਤਰ ਹੈ,Visha Khetar Hai
is chair of committee,ਕਮੇਟੀ ਦਾ ਪ੍ਰਧਾਨ ਹੈ,kameti da pradhan hai
proceedings,ਕਾਰਵਾਈਆਂ,kārvāīā̃
time,ਸਮਾਂ,samān
session room,ਸੈਸ਼ਨ ਰੂਮ,session kamra
conference registration form,ਕਾਨਫਰੰਸ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਫਾਰਮ,conference registration form
working event,ਕੰਮਕਾਜੀ ਘਟਨਾ,kamm kaaraj
conference announcement,ਕਾਨਫਰੰਸ ਦਾ ਐਲਾਨ,conference elaanan
is held in,ਵਿੱਚ ਆਯੋਜਿਤ ਕੀਤਾ ਗਿਆ ਹੈ,vich aayojit kita janda hai
reviewed contribution,ਯੋਗਦਾਨ ਦੀ ਸਮੀਖਿਆ ਕੀਤੀ,sameekhya keeti yogdaan
is organizing committee of conference,ਕਾਨਫਰੰਸ ਦੀ ਪ੍ਰਬੰਧਕ ਕਮੇਟੀ ਹੈ,konfrans da aayojan komiti hai
has phone,ਫ਼ੋਨ ਹੈ,fon hai
set-up deadline,ਸੈੱਟ-ਅੱਪ ਦੀ ਸਮਾਂ-ਸੀਮਾ,sthapan di dehaara
isbn of proceedings,ਕਾਰਵਾਈ ਦੀ isbn,prakāshan dā āīēsabīēn
written contribution,ਲਿਖਤੀ ਯੋਗਦਾਨ,likhit yogdaan
conference chair,ਕਾਨਫਰੰਸ ਦੀ ਕੁਰਸੀ,conference chair
mobile computing topic,ਮੋਬਾਈਲ ਕੰਪਿਊਟਿੰਗ ਵਿਸ਼ਾ,mobile kompyooting visha
passive participant of conference,ਕਾਨਫਰੰਸ ਦੇ ਪੈਸਿਵ ਭਾਗੀਦਾਰ,saragaram nahi bhagidaara dwaara
sponzor are called by,ਸਪਾਂਸਰ ਨੂੰ ਇਹਨਾਂ ਦੁਆਰਾ ਬੁਲਾਇਆ ਜਾਂਦਾ ਹੈ,spanser dwaara bulaya gia
call,ਕਾਲ,kaal
read by reviewer,ਸਮੀਖਿਅਕ ਦੁਆਰਾ ਪੜ੍ਹਿਆ ਗਿਆ,Sameekhiak dwaara parhia
published on date,ਮਿਤੀ ਨੂੰ ਪ੍ਰਕਾਸ਼ਿਤ,prakaashit mite te
credit card,ਕਰੇਡਿਟ ਕਾਰਡ,kreditt kaard
has topic or submission contribution,ਵਿਸ਼ਾ ਜਾਂ ਸਪੁਰਦਗੀ ਯੋਗਦਾਨ ਹੈ,Visha jaan sabmishan yogan daan hai
multi-author volume,ਬਹੁ-ਲੇਖਕ ਵਾਲੀਅਮ,Bahulekhk Sangrahi
conference trip,ਕਾਨਫਰੰਸ ਦੀ ਯਾਤਰਾ,konfrans yatra
is paid for,ਲਈ ਭੁਗਤਾਨ ਕੀਤਾ ਜਾਂਦਾ ਹੈ,da bhugtaan keeta gia hai
writes contribution,ਯੋਗਦਾਨ ਲਿਖਦਾ ਹੈ,yogdan likhda hai
possible reviewer,ਸੰਭਵ ਸਮੀਖਿਅਕ,sambhavi sameekhiak
scientific event,ਵਿਗਿਆਨਕ ਘਟਨਾ,Vigyaanik Ghatna
accepted contribution,ਸਵੀਕਾਰ ਕੀਤਾ ਯੋਗਦਾਨ,Sweekrit Yogdaan
has been assigned review preference,ਸਮੀਖਿਆ ਤਰਜੀਹ ਦਿੱਤੀ ਗਈ ਹੈ,sameekhia prathamikta ditti gai hai
has country,ਦੇਸ਼ ਹੈ,desh hai
session chair,ਸੈਸ਼ਨ ਦੀ ਕੁਰਸੀ,session chair
event of submission,ਪੇਸ਼ ਕਰਨ ਦੀ ਘਟਨਾ,submishan da ghatna
adjusted by,ਦੁਆਰਾ ਐਡਜਸਟ ਕੀਤਾ ਗਿਆ,sodhiya giya
has menu,ਮੇਨੂ ਹੈ,menu hai
volume number of proceedings,ਕਾਰਵਾਈ ਦੀ ਵਾਲੀਅਮ ਨੰਬਰ,prakshan da ank
co-written by,ਦੁਆਰਾ ਸਹਿ-ਲਿਖਤ,sah-likhita duara
wireless communications topic,ਵਾਇਰਲੈੱਸ ਸੰਚਾਰ ਵਿਸ਼ਾ,taar-rehit sanchar visha
person involved with conference,ਕਾਨਫਰੰਸ ਵਿੱਚ ਸ਼ਾਮਲ ਵਿਅਕਤੀ,conference nal jude vyakti
location of conference,ਕਾਨਫਰੰਸ ਦੀ ਸਥਿਤੀ,conference di sthaan
has workshop,ਵਰਕਸ਼ਾਪ ਹੈ,workshop hai
viza,ਵੀਜ਼ਾ,visa
tip,ਕਿਸਮ,kisam
has biography,ਜੀਵਨੀ ਹੈ,jivanī hai
antennas topic,ਐਂਟੀਨਾ ਵਿਸ਼ਾ,Einṭena Ṭāpik
has deadline for submission,ਜਮ੍ਹਾਂ ਕਰਨ ਦੀ ਆਖਰੀ ਮਿਤੀ ਹੈ,submishan lai antim taareekh
departure,ਰਵਾਨਗੀ,ravangi
co-write,ਸਹਿ-ਲੇਖਕ,sah-likha
has email,ਈਮੇਲ ਹੈ,email hai
author,ਲੇਖਕ,lekhak
rejected contribution,ਅਸਵੀਕਾਰ ਕੀਤਾ ਯੋਗਦਾਨ,asavikar kita  yogdan
has author,ਲੇਖਕ ਹੈ,lekhak hai
taxi,ਟੈਕਸੀ,taxi
person,ਵਿਅਕਤੀ,viyakti
paid registration fee,ਭੁਗਤਾਨ ਕੀਤੀ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਫੀਸ,ada keeta registration fees
individual presentation,ਵਿਅਕਤੀਗਤ ਪੇਸ਼ਕਾਰੀ,viyaktigat peshekarie
registration fee paid by an attending author for receiving proceedings as book,ਕਿਤਾਬ ਦੇ ਰੂਪ ਵਿੱਚ ਕਾਰਵਾਈ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ ਹਾਜ਼ਰ ਲੇਖਕ ਦੁਆਰਾ ਅਦਾ ਕੀਤੀ ਗਈ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਫੀਸ,kitaba de rupa vica karavai prapata karavai prapata karana lai hazara lekhaka duara adaa kiti gai rajisatresana phisa
has amount of,ਦੀ ਮਾਤਰਾ ਹੈ,di maatra hai
program chair,ਪ੍ਰੋਗਰਾਮ ਦੀ ਕੁਰਸੀ,program chair
chair of program committee,ਪ੍ਰੋਗਰਾਮ ਕਮੇਟੀ ਦੀ ਪ੍ਰਧਾਨਗੀ,program committee da chairman
conference serie,ਕਾਨਫਰੰਸ ਲੜੀ,conference larhi
preference,ਤਰਜੀਹ,tarjeeh
presenter who presents only on one day,ਪੇਸ਼ਕਾਰ ਜੋ ਸਿਰਫ਼ ਇੱਕ ਦਿਨ ਪੇਸ਼ ਕਰਦਾ ਹੈ,pesakar jo siraf ik-din pasha karada hai
conference participant,ਕਾਨਫਰੰਸ ਭਾਗੀਦਾਰ,conference bhagidaar
member of organizing committee,ਪ੍ਰਬੰਧਕੀ ਕਮੇਟੀ ਦੇ ਮੈਂਬਰ,Aayojan Committee da member
introduction,ਜਾਣ-ਪਛਾਣ,jan pachan
has contribution,ਦਾ ਯੋਗਦਾਨ ਹੈ,yogdaan hai
is prepared by,ਦੁਆਰਾ ਤਿਆਰ ਕੀਤਾ ਜਾਂਦਾ ਹੈ,duara tiyaar kita janda hai
slide set,ਸਲਾਈਡ ਸੈੱਟ,slaid set
regular paper,ਨਿਯਮਤ ਕਾਗਜ਼,niyamat paper
cd proceeding,ਸੀਡੀ ਦੀ ਕਾਰਵਾਈ,CD Prakashan
assigned by admin,ਪ੍ਰਬੰਧਕ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਕੀਤਾ ਗਿਆ ਹੈ,prabandhak dwara sanjha kita gia
reject paper,ਕਾਗਜ਼ ਨੂੰ ਰੱਦ,kagaz nu rad
extended abstract,ਵਿਸਤ੍ਰਿਤ ਸਾਰ,visatrita sara
numerical review question,ਸੰਖਿਆਤਮਕ ਸਮੀਖਿਆ ਸਵਾਲ,ankhi sameekhya sawal
audiovisual equipment,ਆਡੀਓ ਵਿਜ਼ੁਅਲ ਉਪਕਰਣ,audiowizual upkaran
organisation,ਸੰਸਥਾ,sangathan
abstrakt,ਸੰਖੇਪ,sakhep
university of a presenter,ਇੱਕ ਪੇਸ਼ਕਾਰ ਦੀ ਯੂਨੀਵਰਸਿਟੀ,peshekhar di university
accepted paper,ਸਵੀਕਾਰ ਕੀਤਾ ਕਾਗਜ਼,sweekrit paper
reception,ਰਿਸੈਪਸ਼ਨ,reception
is dated on,ਨੂੰ ਮਿਤੀ ਹੈ,nu miti hai
has remark,ਟਿੱਪਣੀ ਹੈ,Tipni hai
is presented in,ਵਿੱਚ ਪੇਸ਼ ਕੀਤਾ ਗਿਆ ਹੈ,vich pesh kita gia hai
full version of paper,ਕਾਗਜ਼ ਦਾ ਪੂਰਾ ਸੰਸਕਰਣ,kagaza da pura sasakarana
award for conference paper,ਕਾਨਫਰੰਸ ਪੇਪਰ ਲਈ ਪੁਰਸਕਾਰ,kanapharasa pepara lai purasakar
conference hiker,ਕਾਨਫਰੰਸ ਹਾਈਕਰ,conference ser sapata
item (in general),ਵਸਤੂ (ਆਮ ਤੌਰ 'ਤੇ),aitem
computer,ਕੰਪਿਊਟਰ,kampiutar
conference,ਕਾਨਫਰੰਸ,conference
author of contribution,ਯੋਗਦਾਨ ਦੇ ਲੇਖਕ,yogdaan da lekhak
communication theory topic,ਸੰਚਾਰ ਸਿਧਾਂਤ ਦਾ ਵਿਸ਼ਾ,sanchar sidhaanat visha
updated version of,ਦਾ ਅਪਡੇਟ ਕੀਤਾ ਸੰਸਕਰਣ,apdeṭad varjan sasakaran
setting of minimal number of event,ਘੱਟੋ-ਘੱਟ ਘਟਨਾ ਦੀ ਗਿਣਤੀ ਦੀ ਸੈਟਿੰਗ,Ghattam Ghatna Di Sthapna
powerline transmission topic,ਪਾਵਰਲਾਈਨ ਪ੍ਰਸਾਰਣ ਵਿਸ਼ਾ,pawarlain transmission topic
poster paper,ਪੋਸਟਰ ਪੇਪਰ,poster paper
has been assigned,ਨੂੰ ਸੌਂਪਿਆ ਗਿਆ ਹੈ,sambh saump ditaa gia hai
oc chair,oc ਕੁਰਸੀ,sammelan adhikaaree
has home page,ਹੋਮ ਪੇਜ ਹੈ,hoM pej hai
bronze sponzor of conference,ਕਾਨਫਰੰਸ ਦਾ ਕਾਂਸੀ ਸਪਾਂਸਰ,kanshi sponsor dwara
house of a company being a sponsor,ਇੱਕ ਕੰਪਨੀ ਦਾ ਘਰ ਸਪਾਂਸਰ ਹੈ,ika kapani da ghara spanser hai
day assigned for a trip,ਯਾਤਰਾ ਲਈ ਨਿਰਧਾਰਤ ਦਿਨ,yatra lai niradharat din
has keywords,ਕੀਵਰਡ ਹਨ,keyword han
introduction of speaker,ਸਪੀਕਰ ਦੀ ਜਾਣ-ਪਛਾਣ,speaker da parichay
registration fee for student,ਵਿਦਿਆਰਥੀ ਲਈ ਰਜਿਸਟਰੇਸ਼ਨ ਫੀਸ,Vidyaarthi lai registration fees
"has been decided (to be accepted, rejected, ...)","ਫੈਸਲਾ ਕੀਤਾ ਗਿਆ ਹੈ (ਸਵੀਕਾਰ ਕੀਤਾ ਜਾਣਾ, ਅਸਵੀਕਾਰ ਕੀਤਾ ਜਾਣਾ, ...)",faisla ho chukka hai
call for participation,ਸ਼ਮੂਲੀਅਤ ਲਈ ਕਾਲ ਕਰੋ,Bhaag Lain Vali Sada
assigned by reviewer,ਸਮੀਖਿਅਕ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਕੀਤਾ ਗਿਆ ਹੈ,sameekhiak dwaara sanjha keeta gya
registered applicant,ਰਜਿਸਟਰਡ ਬਿਨੈਕਾਰ,ristard aplaikent
organization,ਸੰਸਥਾ,sangathan
has submission deadline,ਜਮ੍ਹਾਂ ਕਰਨ ਦੀ ਸਮਾਂ ਸੀਮਾ ਹੈ,submishan di miyaad
one conference day,ਇੱਕ ਕਾਨਫਰੰਸ ਦਿਨ,ik kanfrans din
parallel and distributed computing topic,ਸਮਾਨਾਂਤਰ ਅਤੇ ਵੰਡਿਆ ਹੋਇਆ ਕੰਪਿਊਟਿੰਗ ਵਿਸ਼ਾ,Samantar ate Vitrit Computing Visa
workshop session,ਵਰਕਸ਼ਾਪ ਸੈਸ਼ਨ,workshop session
participant,ਭਾਗੀਦਾਰ,Bhagidar
coffee break,ਕਾਫੀ ਬਰੇਕ,kafi break
part of,ਦਾ ਹਿੱਸਾ,dā hissā
government organization,ਸਰਕਾਰੀ ਸੰਸਥਾ,sarakaari sangathan
paper presented as,ਪੇਪਰ ਦੇ ਰੂਪ ਵਿੱਚ ਪੇਸ਼ ਕੀਤਾ,pesch keeta kaagaz
award for best research paper,ਸਭ ਤੋਂ ਵਧੀਆ ਖੋਜ ਪੱਤਰ ਲਈ ਪੁਰਸਕਾਰ,sarvotam khoj patr pursakar
is sent before,ਅੱਗੇ ਭੇਜਿਆ ਜਾਂਦਾ ਹੈ,ton pahila bhijia janda hai
organises,ਸੰਗਠਿਤ ਕਰਦਾ ਹੈ,aayojit karda hai
deals with topic,ਵਿਸ਼ੇ ਨਾਲ ਨਜਿੱਠਦਾ ਹੈ,Visha Naal Sambandhit
academic institution,ਅਕਾਦਮਿਕ ਸੰਸਥਾ,akademic sansatha
submit of paper,ਕਾਗਜ਼ ਜਮ੍ਹਾਂ ਕਰੋ,kgaza jamha karo
registration fee for member of sigkdd,ਸਿਗਕੇਡੀਡੀ ਦੇ ਮੈਂਬਰ ਲਈ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਫੀਸ,Sigkeddi Dee Member Lai Registration Fees
external reviewer,ਬਾਹਰੀ ਸਮੀਖਿਅਕ,Bahri Sameekhiak
departure tax,ਰਵਾਨਗੀ ਟੈਕਸ,Prasthaan Tax
social event,ਸਮਾਜਿਕ ਘਟਨਾ,samajik samaagam
activity of renting a car,ਕਾਰ ਕਿਰਾਏ 'ਤੇ ਲੈਣ ਦੀ ਗਤੀਵਿਧੀ,kaar kiraae te lena
has relevant administrative event,ਸੰਬੰਧਿਤ ਪ੍ਰਬੰਧਕੀ ਘਟਨਾ ਹੈ,prashaskee ghatna naal sambandh hai
author of student paper,ਵਿਦਿਆਰਥੀ ਪੇਪਰ ਦੇ ਲੇਖਕ,Vidyaarthee paper da lekhak
enable virtual meeting,ਵਰਚੁਅਲ ਮੀਟਿੰਗ ਨੂੰ ਸਮਰੱਥ ਬਣਾਓ,Virtual meeting di agya dena
review of paper,ਕਾਗਜ਼ ਦੀ ਸਮੀਖਿਆ,kagaza di samikhi
meeting room,ਮੀਟਿੰਗ ਕਮਰੇ,meeting room
hall of conference,ਕਾਨਫਰੰਸ ਦਾ ਹਾਲ,conference da hall
setting of maximal number of event,ਘਟਨਾ ਦੀ ਵੱਧ ਤੋਂ ਵੱਧ ਗਿਣਤੀ ਦੀ ਸੈਟਿੰਗ,Ghatna di adhiktam giniti set karna
has submitted contribution,ਨੇ ਯੋਗਦਾਨ ਪਾਇਆ ਹੈ,yogdaan submit kita hai
conference manuscript date and time deadline,ਕਾਨਫਰੰਸ ਹੱਥ-ਲਿਖਤ ਦੀ ਮਿਤੀ ਅਤੇ ਸਮਾਂ ਆਖਰੀ ਮਿਤੀ,konfrans kharde di miti ate saman di antim tareekh
prepares,ਤਿਆਰ ਕਰਦਾ ਹੈ,tiyaar karda hai
paper author,ਪੇਪਰ ਲੇਖਕ,paper lekhak
author of paper,ਕਾਗਜ਼ ਦੇ ਲੇਖਕ,lekhak dwaara
conference venue,ਕਾਨਫਰੰਸ ਸਥਾਨ,conference sthaan
accept rating,ਰੇਟਿੰਗ ਸਵੀਕਾਰ ਕਰੋ,Sweekaar Darja
social activity,ਸਮਾਜਿਕ ਗਤੀਵਿਧੀ,samajik gatividhi
adjust,ਵਿਵਸਥਿਤ ਕਰੋ,vivasathita karna
is paid with,ਨਾਲ ਭੁਗਤਾਨ ਕੀਤਾ ਜਾਂਦਾ ਹੈ,nall  bhugtaan keeta jaanda hai
registration fee paid by an attending author for receiving proceedings as cd,ਸੀਡੀ ਵਜੋਂ ਕਾਰਵਾਈ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ ਹਾਜ਼ਰ ਲੇਖਕ ਦੁਆਰਾ ਅਦਾ ਕੀਤੀ ਗਈ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਫੀਸ,seedi de roop vich prakashan praapt karne liye bhaag lain wale lekhak dwara ada keeta registreshan shulka
speaker giving a lecture in front of the plenum,ਪਲੇਨਮ ਦੇ ਸਾਹਮਣੇ ਭਾਸ਼ਣ ਦਿੰਦੇ ਹੋਏ ਬੁਲਾਰੇ,Plinam de saamne bhaashan den vaala speaker
medicine topic,ਦਵਾਈ ਦਾ ਵਿਸ਼ਾ,davaai visa
activity taking place before conference,ਕਾਨਫਰੰਸ ਤੋਂ ਪਹਿਲਾਂ ਹੋ ਰਹੀ ਗਤੀਵਿਧੀ,konfrans ton pehlaaN dee gatividhi
hotel,ਹੋਟਲ,hotel
organising agency,ਆਯੋਜਨ ਏਜੰਸੀ,Aayojan Ejansee Duaara
activity of modelling,ਮਾਡਲਿੰਗ ਦੀ ਗਤੀਵਿਧੀ,Modling di gatividhi
enter review criteria,ਸਮੀਖਿਆ ਮਾਪਦੰਡ ਦਰਜ ਕਰੋ,Sameekhya Maapdand Dakhil Karo
organizational meeting,ਸੰਗਠਨਾਤਮਕ ਮੀਟਿੰਗ,sangathnatmak meeting
review written by,ਦੁਆਰਾ ਲਿਖਿਆ ਗਿਆ ਸਮੀਖਿਆ,duara likhi agia samikhia
starting date,ਸ਼ੁਰੂਆਤੀ ਮਿਤੀ,Shuruaati Miti
deadline of abstract submission,ਐਬਸਟਰੈਕਟ ਪੇਸ਼ ਕਰਨ ਦੀ ਅੰਤਮ ਤਾਰੀਖ,aibasataraikara pesa karana di atama tarikha
publisher of proceedings is,ਕਾਰਵਾਈ ਦਾ ਪ੍ਰਕਾਸ਼ਕ ਹੈ,karavai da prakasaka hai
event is being held at,ਸਮਾਗਮ ਇੱਥੇ ਆਯੋਜਿਤ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ,samagama ithe aayojit keeta ja raha hai
expertise degree of reviewer,ਸਮੀਖਿਅਕ ਦੀ ਮੁਹਾਰਤ ਦੀ ਡਿਗਰੀ,sameekhyakaar di maahree  di darja
review question,ਸਮੀਖਿਆ ਸਵਾਲ,Sameekhya Sawal
has date,ਮਿਤੀ ਹੈ,Miti hai
chairman,ਚੇਅਰਮੈਨ,chairman
trip,ਯਾਤਰਾ,yatra
run paper asignmedt tools,ਪੇਪਰ ਅਸਾਈਨਮੇਟ ਟੂਲ ਚਲਾਓ,kagaz assignment tools calao
rejection,ਅਸਵੀਕਾਰ,asavikara
computer networks switching topic,ਕੰਪਿਊਟਰ ਨੈੱਟਵਰਕ ਬਦਲਣ ਦਾ ਵਿਸ਼ਾ,kampiyutar netavark switching visha
has postal code,ਡਾਕ ਕੋਡ ਹੈ,Daak Kod Hai
award for best application paper,ਸਭ ਤੋਂ ਵਧੀਆ ਐਪਲੀਕੇਸ਼ਨ ਪੇਪਰ ਲਈ ਪੁਰਸਕਾਰ,sarvotam application paper lai pursakar
paper,ਕਾਗਜ਼,paper
is menu of,ਦਾ ਮੇਨੂ ਹੈ,menū dā hai
